SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,STORM_SPEED,STORM_DIR
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/7/2017 12:00,NR,7.9,127.8, , , ,main,134,125,O_____________,6,329
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/7/2017 15:00,NR,8.13752,127.655, , , ,main,129,119,P_____________,6,329
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/7/2017 18:00,NR,8.4,127.5, , , ,main,121,108,O_____________,7,330
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/7/2017 21:00,NR,8.69997,127.322, , , ,main,108,90,P_____________,7,327
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/8/2017 0:00,TS,9,127.1, , , ,main,90,65,O_____________,8,319
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/8/2017 3:00,TS,9.27251,126.815, , , ,main,66,47,P_____________,8,310
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/8/2017 6:00,TS,9.52,126.48, , , ,main,47,31,O__O__________,7,304
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/8/2017 9:00,TS,9.68081,126.191, , , ,main,31,22,P__P__________,6,296
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/8/2017 12:00,TS,9.8,125.9, , , ,main,31,22,O__O__________,7,290
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/8/2017 15:00,TS,9.90753,125.571, , , ,main,22,22,P__P__________,7,287
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/8/2017 18:00,TS,10,125.25, , , ,main,31,0,O__O__________,6,287
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/8/2017 21:00,TS,10.0824,124.996, , , ,main,0,0,P__P__________,5,287
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/9/2017 0:00,TS,10.15,124.75, , , ,main,0,0,O__O__________,5,288
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/9/2017 3:00,TS,10.2412,124.491, , , ,main,15,15,P__P__________,6,280
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/9/2017 6:00,DS,10.25,124.15, , , ,main,22,0,O__O__________,8,260
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/9/2017 9:00,DS,10.1026,123.651, , , ,main,0,0,P__P__________,11,250
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/9/2017 12:00,DS,9.87143,123.071, , , ,main,0,0,O__O__________,12,245
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/9/2017 15:00,DS,9.58831,122.536, , , ,main,0,0,P__P__________,12,237
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/9/2017 18:00,DS,9.22,122.06, , , ,main,62,62,O__O__________,12,223
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/9/2017 21:00,DS,8.71983,121.708, , , ,main,95,86,P_____________,11,215
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/10/2017 0:00,DS,8.3,121.4, , , ,main,94,94,O_____________,11,229
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/10/2017 3:00,DS,8.02511,120.907, , , ,main,136,136,P_____________,11,248
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/10/2017 6:00,DS,7.9,120.4, , , ,main,188,188,O_____________,9,261
